EventId,EventTemplate
64301583,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false"
3775c1bb,"acquire lock=<*>, flags=<*>, tag=""View Lock"", name=<*>, ws=null, uid=<*>, pid=<*>"
79c5193f,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
4df8084d,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*> t761}}} -- going to hide
b50b5c83,visible is <*>
5c6b423a,mVisiblity.getValue is false
b50b5c83,visible is <*>
5c6b423a,mVisiblity.getValue is false
6c4a7d49,visible is <*> gt <*>
5c6b423a,mVisiblity.getValue is false
6c4a7d49,visible is <*> gt <*>
5c6b423a,mVisiblity.getValue is false
b50b5c83,visible is <*>
5c6b423a,mVisiblity.getValue is false
f38023d3,"release:lock=<*>, flg=<*>, tag=""View Lock"", name=<*>"", ws=null, uid=<*>, pid=<*>"
79c5193f,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
4df8084d,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*> t761}}} -- going to hide
6194cd91,"updateClipping <*> getTopPadding=<*>.<*>, <*>"
27db42da,updateDimmedActivatedHideSensitive <*>
f7fafbb3,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
10a9d4b7,"release:lock=<*>, flg=<*>, tag=""*launch*"", name=android"", ws=WorkSource{<*>}, uid=<*>, pid=<*>"
79c5193f,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>"
113077ce,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)"
382028dc,cancelAutohide
1b95fefb,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>"
0e53d7e5,Destroying surface Surface(name=SurfaceView - <*><*>.<*>) called by <*>:<*> <*>:<*> <*>:<*> <*>$Stub.onTransact:<*> <*>:<*> <*>:<*> <bottom of call stack> <bottom of call stack>
