Log Template,Occurrences
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",1
"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",1
<*>,541
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,2
visible is system.time.showampm,1
mVisiblity.getValue is false,5
visible is system.charge.show,1
visible is system.call.count gt 0,1
visible is system.message.count gt 0,1
visible is system.ownerinfo.show,1
"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",1
"updateClipping <*> getTopPadding=333.0, <*>",65
updateDimmedActivatedHideSensitive <*>,65
getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", <*> uid=1000, pid=1702",8
"setSystemUiVisibility <*> <*> <*> <*> <*> fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - <*> <*> dockedStackBounds=Rect(0, 0 - 0, 0)",200
cancelAutohide,1
<*> <*>,144
Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,1
Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,1
"release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",1
userActivityNoUpdateLocked: <*> <*> <*> uid=1000,69
"orientation change is complete, call stopFreezingDisplayLocked",1
Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},1
startAnimation begin,1
startAnimation end,1
"release:lock=226887582, flg=0x0, tag=""SCREEN_FROZEN"", name=android"", ws=null, uid=1000, pid=1702",1
remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,1
<*> last=0); user=0 USER_ROTATION_LOCKED,3
Application requested orientation <*> got rotation 0 which has compatible metrics,3
"acquire <*> flags=0x1, tag=""RILJ_ACK_WL"", name=com.android.phone, ws=null, uid=1001, pid=2626",10
shouldBlockLocation running ...,37
shouldBlockLocation ret:false,5
getNeighboringCellInfo calling app is com.amap.android.ams,5
"<*> flg=0x0, tag=""RILJ_ACK_WL"", name=com.android.phone"", ws=null, uid=1001, pid=2626",7
"<*> flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0",6
"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
HBM brightnessIn =38,85
HBM brightnessOut =38,85
"Animating brightness: target=38, rate=200",85
interceptKeyTq <*> interactive=true keyguardActive=false policyFlags=2b000002 down <*> canceled false,14
"interceptKeyBeforeQueueing: key <*> , result : 1",14
"acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, <*> uid=1000, pid=1702",8
"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,2
<*> <*>,2
Bad activity token: android.os.BinderProxy@2bd79ce,1
java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,1
"onTouchEvent::0, x=271.0, y=14.0",1
disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == <*>",6
"updateLightsLocked,turn off notificationLight",6
"<*> previousNotificationEnd:0.0, <*> location:4, i:0, getTopPadding:333.0, <*>",13
<*> i:0,2
Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.removeLocked:1554 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2739 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2702 com.android.server.wm.WindowManagerService.removeWindowLocked:2691 com.android.server.wm.WindowManagerService.removeWindowLocked:2560 com.android.server.wm.WindowManagerService.removeWindow:2555,1
"onTouchEvent::1, x=296.0, y=327.0",1
"flingToHeight: vel=2849.079, expand=true, target=553.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false",1
Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui,2
logNotificationVisibilityChanges runInThread <*>,12
isSimPinSecure mSimDatas is null or empty,1
registerCallback not in UI.,3
android.util.AndroidRuntimeException: Must execute in UI,3
*** <*> callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093,2
*** unregister callback for null,1
[PhoneIntfMgr] getDataEnabled: subId=1 phoneId=1,1
[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true,1
"onInterceptTouchEvent MotionEvent { <*> actionButton=0, id[0]=0, <*> <*> toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, <*> <*> deviceId=3, source=0x1002 }, mBlockTouches=false",4
playSoundEffect effectType: 0,10
"animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true",2
START u0 {act=com.tencent.mobileqq.action.MAINACTIVITY flg=0x14000000 cmp=com.tencent.mobileqq/.activity.SplashActivity (has extras)} from uid 10111 on display 0,1
"ActivityRecord info: <*> com.tencent.mobileqq.activity.SplashActivity}, euid: 0",2
"cancelNotification,cancelNotificationLocked,callingUid = <*> = <*>",2
"cancelNotificationLocked called,tell the app,reason = <*>",2
applyOptionsLocked: Unknown animationType=0,2
"flingToHeight: vel=0.0, expand=false, target=0.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false",1
"Taking screenshot from Surface with crop:[Rect(0, 48 - 720, 1208)], width:[432], height:[696], <*> <*> inRotation:[false], rot:[0]",4
updateNotificationShade: <*> <*>,13
"animateCollapsePanels:flags=0, force=false, delayed=false, <*>",6
The change in focus caused us to need to do a layout <*>,12
"Skipping, withExcluded: false, tr.intent:Intent { flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity bnds=[264,444][920,908] }",14
"Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=com.android.incallui/.InCallActivity (has extras) }",14
"Skipping, withExcluded: false, tr.intent:Intent { flg=0x18800000 cmp=com.tencent.mm/.plugin.base.stub.WXEntryActivity (has extras) }",14
"Skipping, withExcluded: false, tr.intent:Intent { flg=0x10800000 cmp=com.tencent.qqmusic/.business.lockscreen.LockScreenActivity (has extras) }",7
"Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }",7
"Skipping, withExcluded: false, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }",7
"cancelNotificationWithTag pid 28601,uid = 10111,tag = null,pkg =com.tencent.mobileqq,id <*>",20
disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >,3
getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
Destroying surface <*> called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.AppWindowToken.destroySurfaces:374 com.android.server.wm.AppWindowToken.notifyAppStopped:400 com.android.server.wm.WindowManagerService.notifyAppStopped:4869 com.android.server.am.ActivityStack.activityStoppedLocked:1393 com.android.server.am.ActivityManagerService.activityStopped:7690,5
"Start dump, calling from : pid=12782, uid=1000",1
"acquire lock=237091223, flags=0x1, tag=""WiredAccessoryManager"", name=android, ws=null, uid=1000, pid=1702",1
setWiredDeviceConnectionState  type: -2147483632  state: 0,1
"acquire lock=86152250, flags=0x1, tag=""handleAudioEvent"", name=android, ws=null, uid=1000, pid=1702",1
setWiredDeviceConnectionState  type: 4  state: 0,1
"release:lock=237091223, flg=0x0, tag=""WiredAccessoryManager"", name=android"", ws=null, uid=1000, pid=1702",1
"ActivityManagerService,attachApplication,callingPid = <*>",4
"acquire <*> flags=0x1, tag=""AudioMix"", name=audioserver, ws=null, uid=1041, pid=0",5
"release:lock=86152250, flg=0x0, tag=""handleAudioEvent"", name=android"", ws=null, uid=1000, pid=1702",1
getLastAudibleStreamVolume treamType: <*>,9
getDevicesForStream streamType: 3,2
cleanUpApplicationRecord -- <*>,3
"cleanUpApplicationRecordLocked, pid: <*> restart: false",6
