EventId,EventTemplate,Occurrences
fc89114a,Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID<*>),1
181e8923,Component State Change: Component \042alt0\042 is in the unavailable state (HWID<*>),11
41a58737,clusterAddMember (command <*>,2
3595c0ec,risBoot  (command 1903),1
434dabce,bootGenvmunix  (command 1903),1
509c33ba,boot  (command 1911),1
7bef4daa,boot  (command 1910),1
2c26fa83,boot  (command 1978),1
91df97eb,boot  (command 1967),1
22de812a,wait  (command 1975),1
c81888d5,boot  (command 1999),1
070e6083,halt  (command 1982),1
ded3dbc5,boot  (command 1981),1
99181771,boot  (command 1973),1
9e84b1f9,wait  (command 1973),1
dacb3f70,wait  (command 2057),1
f7b5247a,boot  (command 2152),1
b9a83b36,wait  (command 2154),1
083fa6ed,boot  (command 2141),1
f6935511,boot  (command 2110),1
910be4ec,boot  (command 2160),1
533d10a1,halt  (command 2221),1
9ce2b421,wait (command 2217),2
5c4a96e6,wait  (command 2201),1
5f157a91,wait  (command 2199),1
fef5dc2b,boot  (command 2183),1
825c3117,wait  (command 2189),1
ef4c6c48,wait  (command 2302),1
8d8f1182,wait  (command 2270),1
bd6d531a,wait  (command 2257),1
c8a5284e,boot  (command 2257),1
f8b73a77,boot (command 2316),2
471963ee,wait  (command 2322),1
1d36e525,wait  (command 2354),1
0b818979,wait  (command 2347),1
28e2f1c8,boot  (command 2368),1
3a28fc5f,boot  (command 2392),1
7a3fb03b,boot  (command 2406),1
904fd7c8,boot  (command 2417),1
765d0784,boot  (command 2423),1
534ff2ed,wait  (command 2424),1
a1bbea82,wait  (command 2449),1
20e7bc9f,boot  (command 2464),1
410f1c1a,wait  (command 2468),1
536428d0,boot  (command 2520),1
7a60d74c,wait  (command 2517),1
e8d91213,boot  (command 2517),1
bc649278,wait  (command 2511),1
14d533e6,wait  (command 2513),1
92c9d017,boot  (command 2514),1
22987f4f,wait  (command 2484),1
754ee40e,boot  (command 2625),1
06e4d060,wait  (command 2607),1
