EventId,EventTemplate
b59546a3,Created MRAppMaster for application appattempt_1445144423722_0020_000001
88190c5b,Executing with tokens:
700c656b,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)"
1096954a,Using mapred newApiCommitter.
e5509fee,OutputCommitter set in config null
fb70ef46,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
1a864776,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
1b20300f,Registering class <*> for class <*>
1b20300f,Registering class <*> for class <*>
1b20300f,Registering class <*> for class <*>
1b20300f,Registering class <*> for class <*>
1b20300f,Registering class <*> for class <*>
1b20300f,Registering class <*> for class <*>
1b20300f,Registering class <*> for class <*>
333d81b4,Default file system [hdfs://msra-sa-41:9000]
333d81b4,Default file system [hdfs://msra-sa-41:9000]
333d81b4,Default file system [hdfs://msra-sa-41:9000]
e3a14f7f,Emitting job history data to the timeline server is not enabled
1b20300f,Registering class <*> for class <*>
9f5cfeda,loaded properties from hadoop-metrics2.properties
92fc0053,Scheduled snapshot period at 10 second(s).
e1c2f622,MRAppMaster metrics system started
b5e96644,Adding job token for job_1445144423722_0020 to jobTokenSecretManager
266ebe12,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;
a9bc8714,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10
95e25092,Number of reduces for job job_1445144423722_0020 = 1
1f57cb26,job_1445144423722_0020Job Transitioned from NEW to INITED
9adfdb7a,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020."
d27de030,Using callQueue class java.util.concurrent.LinkedBlockingQueue
c30aca77,Starting Socket Reader #1 for port <*>
74418427,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server
0cafcef3,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260
9339381a,IPC Server Responder: starting
3a41bd40,IPC Server listener on <*> starting
36d9a0cc,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog
c6c6e919,Http request log for http.requests.mapreduce is not defined
ab3ca88f,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
10ec2bbb,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>
10ec2bbb,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>
4ba12439,adding path spec: /mapreduce/*
190106b6,adding path spec: /ws/*
1cb6ce42,Jetty bound to port 62267
0915c869,jetty-6.1.26
f2a66e48,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp
9d1159bd,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267
b88ebd7d,Web app /mapreduce started at 62267
6ff7af5b,Registered webapp guice modules
d27de030,Using callQueue class java.util.concurrent.LinkedBlockingQueue
b83503b7,JOB_CREATE job_1445144423722_0020
d44aee14,nodeBlacklistingEnabled:true
962ebcfc,maxTaskFailuresPerNode is 3
83316fe1,blacklistDisablePercent is 33
c30aca77,Starting Socket Reader #1 for port <*>
3a41bd40,IPC Server listener on <*> starting
9339381a,IPC Server Responder: starting
3d80ade9,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030
28ce7f24,"maxContainerCapability: <memory:8192, vCores:32>"
65343dac,queue: default
453477f9,Upper limit on the thread pool size is 500
0611fdf6,yarn.client.max-cached-nodemanagers-proxies : 0
0df0ba7d,job_1445144423722_0020Job Transitioned from INITED to SETUP
9203330c,Processing the event EventType: JOB_SETUP
522abf56,job_1445144423722_0020Job Transitioned from SETUP to RUNNING
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
74d699ac,Resolved <*> to /default-rack
74d699ac,Resolved <*> to /default-rack
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
2ba536c7,<*> Task Transitioned from NEW to SCHEDULED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
853bfdbc,<*> TaskAttempt Transitioned from NEW to UNASSIGNED
ec4bec9b,"mapResourceRequest:<memory:1024, vCores:1>"
26d7cf86,"Event Writer setup for JobId: job_1445144423722_0020, File: hdfs://msra-sa-41:9000/tmp/hadoop-yarn/staging/msrabi/.staging/job_1445144423722_0020/job_1445144423722_0020_1.jhist"
3be05b3e,"reduceResourceRequest:<memory:1024, vCores:1>"
9acd60f8,<*> Scheduling: <*> <*> <*> <*> AssignedReds:0 <*> CompletedReds:0 <*> <*> <*> <*>
44d9b462,getResources() for application_1445144423722_0020: <*> release= <*> <*> <*> <*> <*> knownNMs=4
a0adc9e1,"Recalculating schedule, <*> <*>"
