EventId,EventTemplate
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root
006d0aa5,session opened for user cyrus by (uid=0)
836fc242,session closed for user cyrus
f1f7711d,ALERT exited abnormally with [1]
f032b772,session opened for user news by (uid=0)
966b8761,session closed for user news
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
5fe6f5c0,check pass; user unknown
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
5fe6f5c0,check pass; user unknown
916a5e92,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
5fe6f5c0,check pass; user unknown
916a5e92,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
5fe6f5c0,check pass; user unknown
916a5e92,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com
