EventId,EventTemplate,Occurrences
ee86f559,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,40
5fe6f5c0,check pass; user unknown,117
65ee854d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root,68
006d0aa5,session opened for user cyrus by (uid=0),43
836fc242,session closed for user cyrus,43
f1f7711d,ALERT exited abnormally with [1],43
f032b772,session opened for user news by (uid=0),43
966b8761,session closed for user news,43
916a5e92,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,10
51cb9a4f,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,5
0381d8bd,connection from <*> (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 <*> 2005,8
cf6e4a90,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*> <*>,205
067f1362,session opened for user test by (uid=509),36
0a3367cc,session closed for user test,36
2805c20d,connection from <*> (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at <*> Jun <*> <*> 2005,22
23ac3399,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,10
08c71eac,User unknown timed out after 900 seconds at Sat Jun 18 <*> 2005,1
8531a26e,cupsd shutdown succeeded,6
1337b824,cupsd startup succeeded,6
78996bdd,restart.,7
6f750a44,connection from <*> () at <*> <*> <*> <*> 2005,616
e56ad209,Received SNMP packet(s) from <*>,1
a63a3e9d,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com user=root,23
f3d9af11,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,10
c16a336f,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,10
9b251f66,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com user=root,5
2592aba6,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl user=root,10
ab4ccb97,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu user=root,10
da4a4fd9,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net user=root,13
cf78d631,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl,8
a7b2643f,Authentication failed from <*> (<*>): Permission denied in replay cache code,8
7fe2186b,Kerberos authentication failed,23
60a3091e,Authentication failed from <*> (<*>): Software caused connection abort,15
a1e18cd4,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=zummit.com,10
323dbafe,connection from <*> (dsl-Chn-static-<*>.touchtelindia.net) at Sun Jul <*> <*> 2005,46
f50a8ef8,connection from <*> (<*>.sh.interxion.inode.at) at Sun Jul 3 <*> 2005,23
016fb324,connection from <*> (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul 4 <*> 2005,23
0c4ed6cb,*** info [mice.c(1766)]:,1
6281818e,imps2: Auto-detected intellimouse PS/2,1
91036a8b,session opened for user root by LOGIN(uid=0),1
4b9338f6,ROOT LOGIN ON tty2,1
e67290aa,session closed for user root,1
b4e20944,removing device node <*>,4
6e31eca4,creating device node <*>,4
d22d0f03,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c9063558.virtua.com.br,4
0aa9ae2e,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info user=root,10
121f5070,connection from <*> (host<*>.maximumasp.com) at Sat Jul 9 <*> 2005,23
16a1defa,connection from <*> (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 <*> 2005,23
deeea6a1,authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,1
6444ea09,Couldn't authenticate user,1
b1619e0f,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>.nw.nuvox.net user=root,10
c9f19ae8,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202-132-40-29.adsl.ttn.net user=root,8
195941ad,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c51471f2c.cable.wanadoo.nl user=root,10
e63373c3,connection from <*> (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 <*> 2005,32
2a63d0cc,connection from <*> (host8.topspot.net) at Sun Jul 17 <*> 2005,46
d682082e,connection from <*> <*> at <*> Jul <*> <*> 2005,47
abc7f289,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,10
1a842fd8,"ANONYMOUS FTP LOGIN FROM <*>, (anonymous)",2
aec4de61,notify question section contains no SOA,16
a45f76b2,getpeername (ftpd): Transport endpoint is not connected,4
44330be5,warning: can't get client address: Connection reset by peer,2
e2e2f763,syslogd startup succeeded,1
f926f5ed,"klogd 1.4.1, log source = /proc/kmsg started.",1
2cd6d10d,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 <*> EDT 2004,1
5cb4dcf4,BIOS-provided physical RAM map:,1
8068dec7,BIOS-e820: <*> - <*> (usable),2
b7b15ba5,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),1
a80de0be,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),1
f0715417,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),1
617c9f65,0MB HIGHMEM available.,1
70d0b7b3,126MB LOWMEM available.,1
4475646e,zapping low mappings.,1
c4abea2c,klogd startup succeeded,1
89e41320,On node 0 totalpages: 32430,1
de566a4c,"DMA zone: 4096 pages, LIFO batch:1",1
23d512cf,"Normal zone: 28334 pages, LIFO batch:6",1
85a83e6b,irqbalance startup succeeded,1
f81bd90d,"HighMem zone: 0 pages, LIFO batch:1",1
c8fb83f1,DMI 2.3 present.,1
068fbf46,ACPI disabled because your bios is from 2000 and too old,1
06e4070c,You can enable it with acpi=force,1
ce85852a,Built 1 zonelists,1
6bcffc16,Kernel command line: ro root=LABEL=/ rhgb quiet,1
867e70a6,mapped 4G/4G trampoline to ffff3000.,1
11ffa6be,Initializing CPU#0,1
ae392113,"CPU 0 irqstacks, hard=02345000 soft=02344000",1
e052d25e,portmap startup succeeded,1
911f3f5b,PID hash table entries: 512 (order 9: 4096 bytes),1
b620323e,Detected 731.219 MHz processor.,1
72d065cb,Version 1.0.6 Starting,1
2cacc501,Using tsc for high-res timesource,1
08cb21a6,rpc.statd startup succeeded,1
75194edc,Console: colour VGA+ 80x25,1
b7ac2ad4,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",1
ca5fb46d,Calibrating delay loop... 1445.88 BogoMIPS,1
625bc432,Security Scaffold v1.0.0 initialized,1
826815a8,SELinux:  Initializing.,1
6f678395,SELinux:  Starting in permissive mode,1
92f38af7,"There is already a security framework initialized, register_security failed.",1
f4531fe0,Failure registering capabilities with the kernel,1
3c1edb89,selinux_register_security:  Registering secondary module capability,1
995ee000,Capability LSM initialized,1
d77fb1e6,rpc.idmapd startup succeeded,1
c652c002,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",1
d84d0c25,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",1
500a6615,"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",1
33127630,"CPU: L1 I cache: 16K, L1 D cache: 16K",1
875bf9ed,CPU: L2 cache: 256K,1
3797c3f8,Intel machine check architecture supported.,1
e47ddd81,Intel machine check reporting enabled on CPU#0.,1
8f3f5cf7,CPU: Intel Pentium III (Coppermine) stepping 06,1
6840ff9f,Enabling fast FPU save and restore... done.,1
8d0b0805,Enabling unmasked SIMD FPU exception support... done.,1
8177bcff,Checking 'hlt' instruction... OK.,1
d2b20224,Initializing random number generator:  succeeded,1
cb7aa6e4,POSIX conformance testing by UNIFIX,1
f7406429,NET: Registered protocol family 16,1
8630412f,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",1
05be387f,PCI: Using configuration type 1,1
cd4d7a6f,mtrr: v2.0 (20020519),1
ca5bfdc0,ACPI: Subsystem revision 20040326,1
51836d0d,ACPI: Interpreter disabled.,1
