EventId,EventTemplate
9138c105,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0
c5473041,Thermal pressure state: <*> Memory pressure state: 0
bd539e71,<*> dealloc
01a5e7de,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
5b989378,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable]
256241c8,<*> Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF)
e766e75c,"ARPT: <*> IOPMPowerSource Information: <*> SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>"
485e27e2,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096"
2fe48ff9,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload
a2f77a93,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
c324822f,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
a2f77a93,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
c561c20f,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs"
9ae4a17d,AppleCamIn::systemWakeCall - messageType = <*>
1714863b,"setting hostname to ""authorMacBook-Pro.local"""
b98ae5f1,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
0165f8eb,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7
f68b2424,<*> <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.
1b0e6ccd,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
c324822f,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
