EventId,EventTemplate,Occurrences
9138c105,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,36
c5473041,Thermal pressure state: <*> Memory pressure state: 0,39
bd539e71,<*> dealloc,15
01a5e7de,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],1
5b989378,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],1
256241c8,<*> Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),3
e766e75c,"ARPT: <*> IOPMPowerSource Information: <*> SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>",18
485e27e2,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",1
2fe48ff9,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,1
a2f77a93,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
c324822f,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
c561c20f,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",1
9ae4a17d,AppleCamIn::systemWakeCall - messageType = <*>,56
1714863b,"setting hostname to ""authorMacBook-Pro.local""",4
35286b15,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",165
0165f8eb,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,7
f68b2424,<*> <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,3
3bfbac76,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,7
5fd834ee,"PM response took <*> ms (54, powerd)",7
62cb0e65,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",1
719dd63a,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096",1
dc31a98f,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,7
1b30f5d7,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",11
3dc7b8b8,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
64851176,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
269b9290,<*> deny network-outbound /private/var/run/mDNSResponder,29
7d928e8f,ARPT: <*> wl0: MDNS: <*> Addr: <*>,26
90921ef6,AirPort: Link Up on en0,4
fc7d3cb9,Sandbox: <*> deny(1) network-outbound /private/var/run/mDNSResponder,29
2a05d5a6,ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],1
ebeefb6f,AirPort: Link Up on awdl0,9
485965c0,ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,1
0ccf2ef1,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
273d121f,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),1
2118b80d,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,11
417169bd,"ARPT: 621490.858770: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2119064372, Ack 3325040593, Win size 278",1
640741af,ARPT: 621490.890645: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],1
3d27fb99,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: <*>,25
fdca1058,en0::IO80211Interface::postMessage bssid changed,10
23b470f8,ARPT: 621542.378462: ARPT: Wake Reason: Wake on Scan offload,1
e827b350,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,6
66f19cc9,mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),3
f46646cd,AppleCamIn::wakeEventHandlerThread,20
5941e8a2,"ARPT: 621686.164365: wl0: setup_keepalive: Local port: 62614, Remote port: 443",1
89b04e7e,ARPT: 621738.114066: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],1
1efd5b6e,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) <*> <*> +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),14
79211152,en0: channel changed to <*>,18
10a0899a,ARPT: <*> AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,4
3e400856,CCFile::captureLog Received Capture notice id: <*> reason = <*>,17
9b021989,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
369662f1,Unrecognized attribute value: t:AbchPersonItemType,8
b6c517a7,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
46630e63,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
ac4092ad,10:46:47.425 : BTLE scanner Powered On,1
3146a81b,button report: <*>,20
38762d07,11:20:51.293 : BTLE discovered device with hash <01faa200 00000000 0000>,1
5ffb2db8,"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",4
1d6030fa,Location icon should now be in state <*>,37
c96d3855,"ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval 30, retry_count 10",11
8788a13f,ARPT: 626126.086246: wl0: MDNS: IPV4 Addr: <*>,1
21aaf2a7,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! QQ.10018 <*> <*>,9
2db82054,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",7
bb67295f,Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),3
c4d87bde,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,6
76cbe61c,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
77d8ce80,11:46:19.229 : Finished generating hashes,1
42e2baf6,Captive: CNPluginHandler en0: Evaluating,4
5109a800,ARPT: 626380.467130: ARPT: Wake Reason: Wake on Scan offload,1
5fd834ee,"PM response took <*> ms (54, powerd)",2
d94598e1,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [50] Network is down,3
bef0af28,AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).,5
c9f00908,11:49:29.473 : BTLE scanner Powered On,1
a5f45ef9,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",12
8114a738,CCXPCService::setStreamEventHandler Registered for notification callback.,2
db5d9204,<*> Failed to read DnsConfig.,4
e5d7651b,Saw change in network reachability <*>,4
e8db0d87,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),8
6d205351,en0: BSSID changed to 5c:50:15:36:bc:03,3
4edb99bb,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
c9629790,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,13
4e778f4a,"ARPT: 626625.204595: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 3034132215, Ack 528237229, Win size 278",1
c64e8f3d,"RTC: Maintenance 2017/7/1 19:52:56, sleep 2017/7/1 19:40:18",1
79211152,en0: channel changed to <*>,2
d1257bf1,13:20:12.402 : BTLE scanner Powered On,1
9eba2a13,RTC: PowerByCalendarDate setting ignored,11
4ff8e21d,en0: 802.11d country code set to <*>,5
cf7dbfb7,"ARPT: 627305.613279: wl0: setup_keepalive: Seq: 1664112163, Ack: 818851215, Win size: 4096",1
f46fea89,ARPT: 627355.597577: ARPT: Wake Reason: Wake on Scan offload,1
f386d376,QQ(10018) deny mach-lookup <*>,6
925c525d,"RTC: Maintenance 2017/7/1 21:52:00, sleep 2017/7/1 21:39:51",1
676e7c5c,[HID] [MT] AppleMultitouchDevice::willTerminate entered,3
6d087c3f,[BluetoothHIDDeviceController] <*>,3
22ac3f5f,PMStats: Hibernate read took 197 ms,1
53b882d9,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,13
adef7432,"pages 1471315, wire 491253, act 449877, inact 3, cleaned 0 spec 5, zf 23, throt 0, compr 345876, xpmapped 40000",1
76f03daa,"VDCAssistant:  Found a camera (0x1430000005ac8290) , but was not able to start it up (0x0 -- (os/kern) successful)",1
28dbc877,handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa823a04400(2004) (lock state: 3),1
1a3a99f8,"2017-07-01 19:46:26.133 GoogleSoftwareUpdateAgent[31702/0x7000002a0000] [lvl=2] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:0x100259c60 ticketStore=<KSPersistentTicketStore:0x100253770 store=<KSKeyedPersistentStore:0x100254d10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x100254d80 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/<*>"" locked=NO > >> processor=<KSActionProcessor:0x100259e70 delegate=<KSUpdateEngine:0x100259c60> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x1002594d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",1
830b718b,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>,20
41130755,Error returned from iconservicesagent: (null),13
0b8e8ddf,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,8
52cea82a,"SecOSStatusWith error:[-50] Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",5
fc87dd55,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,26
8d895879,WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,1
46d36c1c,"<*>://DB05755C-483D-44B7-B93B-ED06E57FF420/CalDAVPrincipal/p11: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 59 seconds.  Ignoring.",1
d07f6485,"device_generate_desktop_screenshot: authw 0x7fa823c89600(2000), shield 0x7fa8258cac00(2001)",2
c7fe0412,[<*>] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],5
a8354a31,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>",17
df885165,"ARPT: 640362.070027: wl0: wl_update_tcpkeep_seq: Original Seq: 2000710617, Ack: 2120985509, Win size: 4096",1
0dfd2fde,Previous sleep cause: 5,15
17ff37de,Wake reason: RTC (Alarm),5
efbb9953,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,15
147dac91,02:18:39.156 : BTLE scanner Powered On,1
de70c6e0,network changed: <*> <*> <*> Proxy SMB,8
0bc308f5,hibernate_page_list_setall found pageCount <*>,2
ba0010cd,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,2
f59eed7d,en0: BSSID changed to <*>,12
d31f968b,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- 0x7000,1
a0e93f54,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4,8
bd539e71,<*> dealloc,2
d89ee3ec,"2017-07-02 10:40:07.676 GoogleSoftwareUpdateAgent[32012/0x7000002a0000] [lvl=2] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""<*>"" using engine <KSUpdateEngine:0x100313e70 ticketStore=<KSPersistentTicketStore:0x100332a60 store=<KSKeyedPersistentStore:0x100315fa0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x1003176d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/<*>"" locked=NO > >> processor=<KSActionProcessor:0x1003143e0 delegate=<KSUpdateEngine:0x100313e70> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x100311a10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",1
13460510,2017/07/02 11:38:49.414 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = ******2341.,1
b8729996,ARPT: 645795.024045: ARPT: Wake Reason: Wake on Scan offload,1
