EventId,EventTemplate
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
924c6a66,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM <*> (Lifecycle Event)
924c6a66,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM <*> (Lifecycle Event)
92bb4a4a,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
a42f78fb,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking
0dcd85da,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"
827fd3e1,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
aaa65895,Creating event network-vif-plugged:e3871ffd-5cd5-4287-bddd-3529f7b59515 for instance b9000564-fe1a-409b-b8cc-1e88b294cd1d
cd6e6f69,"10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: <*> len: <*> time: <*>"
924c6a66,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM <*> (Lifecycle Event)
9b7c4f0e,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Instance <*> successfully.
042c2d36,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took <*> seconds to <*> the instance on the hypervisor.
92bb4a4a,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.
924c6a66,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM <*> (Lifecycle Event)
a42f78fb,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking
0dcd85da,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"
09db663a,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] Took 19.84 seconds to build instance.
827fd3e1,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
919bf3aa,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us
608beb6c,"Total usable vcpus: 16, total allocated vcpus: <*>"
88fcc83f,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*> phys_disk=15GB <*> total_vcpus=16 <*> pci_stats=[]
4d2ee700,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us
a42f78fb,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking
0dcd85da,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage"
827fd3e1,<*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
f9d0e9c6,"<*> ""GET /openstack/2013-10-17 HTTP/1.1"" status: 200 len: 157 time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
332f4e8b,"<*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>"
a2225e64,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/b9000564-fe1a-409b-b8cc-1e88b294cd1d HTTP/1.1"" status: 204 len: 203 time: 0.2534380"
3b30f45f,"<*> ""GET /openstack/2013-10-17/user_data HTTP/1.1"" status: 404 len: 176 time: <*>"
