EventId,EventTemplate
64754452,<*> open through proxy <*> HTTPS
64754452,<*> open through proxy <*> HTTPS
64754452,<*> open through proxy <*> HTTPS
4b5587b7,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
64754452,<*> open through proxy <*> HTTPS
64754452,<*> open through proxy <*> HTTPS
4b5587b7,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
64754452,<*> open through proxy <*> HTTPS
4469b605,"<*> close, <*> bytes sent, <*> bytes <*> <*>) received, lifetime <*>"
4469b605,"<*> close, <*> bytes sent, <*> bytes <*> <*>) received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
b1e38eee,"<*> close, <*> bytes <*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
4b5587b7,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
b1e38eee,"<*> close, <*> bytes <*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
181c7136,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
181c7136,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>"
4469b605,"<*> close, <*> bytes sent, <*> bytes <*> <*>) received, lifetime <*>"
4b5587b7,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
181c7136,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
64754452,<*> open through proxy <*> HTTPS
4b5587b7,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
b1e38eee,"<*> close, <*> bytes <*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
181c7136,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>"
64754452,<*> open through proxy <*> HTTPS
