EventId,EventTemplate,Occurrences
64754452,<*> open through proxy <*> HTTPS,954
4b5587b7,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",355
4469b605,"<*> close, <*> bytes sent, <*> bytes <*> <*>) received, lifetime <*>",168
b1e38eee,"<*> close, <*> bytes <*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>",303
181c7136,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>",121
f920642c,<*> open through proxy <*> SOCKS5,2
6027a230,<*> error : A connection request was canceled before the completion.,31
8b373cdf,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,3
6cf30437,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",17
e020f1ab,<*> error : Could not connect to proxy <*> - Could not resolve <*> error 11001,20
54a105ce,<*> error : Could not connect to proxy <*> - connection attempt failed with error 10061,26
