Log Template,Number of Occurrences
instruction cache parity error corrected,42
63543 double-hummer alignment exceptions,1
<*> double-hummer alignment exceptions,108
"CE sym 2, at 0x0b85eee0, mask 0x05",1
ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
"CE sym 20, at 0x1438f9e0, mask 0x40",1
generating <*>,696
generating <*>,2
generating <*>,3
generating <*>,2
generating <*>,2
generating <*>,2
generating <*>,2
generating <*>,2
generating <*>,2
generating <*>,2
generating <*>,2
generating <*>,2
generating <*>,2
force load/store alignment...............0,2
"CE sym 20, at 0x01228120, mask 0x10",1
"CE sym 5, at 0x11042a80, mask 0x04",2
ciod: cpu 0 at treeaddr 438 sent unrecognized message 0xffffffff,1
ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,1
"CE sym 28, at 0x110067e0, mask 0x02",1
"<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",18
"CE sym 14, at 0x06047860, mask 0x20",1
CE sym <*> at <*> mask <*>,85
data TLB error interrupt,60
ciod: Message code 0 is not 51 or 4294967295,1
data storage interrupt,30
instruction address: 0x00004ed8,20
data address: 0x00000002,8
machine check: i-fetch......................0,5
program interrupt: illegal <*>,8
exception syndrome register: <*>,6
data store interrupt caused by <*>,10
program interrupt: privileged instruction...0,5
program interrupt: trap instruction.........0,1
program interrupt: imprecise exception......0,5
store operation.............................1,2
machine state register: 0x00002000,4
"problem state (0=sup,1=usr).......0",3
floating point instr. enabled.....1,4
auxiliary processor.........................0,5
machine check enable..............0,2
floating pt ex mode <*> enable......0,5
program interrupt: unimplemented operation..0,2
debug interrupt enable............0,1
byte ordering exception.....................0,2
data address space................0,5
core configuration register: 0x00002000,7
program interrupt: fp cr update.............0,1
guaranteed instruction cache block touch.0,2
program interrupt: fp cr field .............0,4
guaranteed data cache block touch........1,1
icache prefetch depth....................0,1
icache prefetch threshold................0,2
wait state enable.................0,1
critical input interrupt enable...0,1
special purpose registers:,1
lr:00004ed0 cr:28244842 xer:20000002 ctr:00086000,1
rts internal error,1
debug wait enable.................0,2
instruction address space.........0,1
disable store gathering..................0,3
total of <*> ddr error(s) detected and corrected,13
"ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory",1
ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,1
"ciod: Error loading ./runtime_malloc: invalid or missing program image, No such file or directory",1
"ciod: Error loading <*> invalid or missing program image, No such file or directory",7
program interrupt,3
instruction address: 0x0062fe04,1
Node card is not fully functional,6
ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,1
Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005,1
Can not get assembly information for node card,6
ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/64mps.sequential.mapfile,1
<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,4
ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,1
ciod: Error creating node map from file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-xyzt/xyzt.map: Block device required,1
"ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory",1
rts panic! - stopping execution,2
ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,1
ciod: Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,1
"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015",1
<*> floating point alignment exceptions,121
New ido chip inserted into the database: FF:F2:9F:15:1F:72:00:0D:60:EA:E0:8D ip=10.7.0.13 v=9 t=2,1
New ido chip inserted into the database: FF:F2:9F:16:BF:6C:00:0D:60:E9:40:93 ip=10.5.0.46 v=13 t=4,1
NodeCard is not fully functional,1
"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",1
"Node card VPD check: U11 node in processor card slot J16 do not match. VPD ecid 04DF80A7942FFFFF0C081AE08CD2, found 0000000000000000000000000000",1
New ido chip inserted into the database: FF:F2:9F:16:C4:C2:00:0D:60:E9:3B:3D ip=10.2.1.37 v=13 t=4,1
"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,5
"Node card VPD check: U01 node in processor card slot J14 do not match. VPD ecid 074C04C10F7BFFFF08051AE08ED2, found 04C180A5D12FFFFF05081BD088E2",1
Ido chip status changed: FF:F2:9F:16:EB:27:00:0D:60:E9:14:D8 ip=10.0.2.192 v=13 t=4 status=M Thu Aug 04 15:29:45 PDT 2005,1
Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005,1
"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310",1
Ido chip status changed: FF:F2:9F:16:DC:81:00:0D:60:E9:23:7E ip=10.6.1.207 v=13 t=4 status=M Tue Aug 09 10:08:23 PDT 2005,1
rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,1
<*> tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,3
"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error",15
ciod: LOGIN chdir(pwd) failed: No such file or directory,2
"ciod: Error loading /bgl/apps/scaletest/stability/MDCASK/WORK/65576/inferno: invalid or missing program image, No such file or directory",1
ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,9
ciod: Missing or invalid fields on line 1 of node map file /home/auselton/bgl/mapfiles/bgl.128mps.f64.map,1
rts: kernel terminated for reason <*>,6
ciod: LOGIN chdir(/p/bg1/da) failed: No such file or directory,1
ciod: generated <*> core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm,5
ciod: LOGIN chdir(/home/germann2/SPaSM_static) failed: No such file or directory,1
ciod: generated <*> core files for program <*>,17
ciod: LOGIN chdir(/home/germann2/BGL-demo) failed: No such file or directory,1
iar 003a90fc dear 00b360e8,1
iar 003a90dc dear 00b35148,1
iar 003a90fc dear 00b35db8,1
iar 003a9108 dear 00c07348,1
