Log Template,Number of Occurrences
Created MRAppMaster for application appattempt_1445144423722_0020_000001,1
Executing with tokens:,1
"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",1
Using mapred newApiCommitter.,1
OutputCommitter set in config null,1
OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,1
Registering class <*> for class <*>,8
Default file system [hdfs://msra-sa-41:9000],3
Emitting job history data to the timeline server is not enabled,1
loaded properties from hadoop-metrics2.properties,1
Scheduled snapshot period at 10 second(s).,1
MRAppMaster metrics system started,1
Adding job token for job_1445144423722_0020 to jobTokenSecretManager,1
Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,1
Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,1
Number of reduces for job job_1445144423722_0020 = 1,1
job_1445144423722_0020Job Transitioned from NEW to INITED,1
"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",1
Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
Starting Socket Reader #1 for port <*>,2
Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,1
IPC Server Responder: starting,2
IPC Server listener on <*> starting,2
Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,1
Http request log for http.requests.mapreduce is not defined,1
Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,2
adding path spec: /mapreduce/*,1
adding path spec: /ws/*,1
Jetty bound to port 62267,1
jetty-6.1.26,1
Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,1
Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,1
Web app /mapreduce started at 62267,1
Registered webapp guice modules,1
JOB_CREATE job_1445144423722_0020,1
nodeBlacklistingEnabled:true,1
maxTaskFailuresPerNode is 3,1
blacklistDisablePercent is 33,1
Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,1
"maxContainerCapability: <memory:8192, vCores:32>",1
queue: default,1
Upper limit on the thread pool size is 500,1
