EventId,EventTemplate
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1479388c,onReceive action: <*>
22b9413d,processHandleBroadcastAction action:android.intent.action.SCREEN_ON
6634c941,flush sensor data
3688dfc6, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404
2528f150,<*>
4dba672c,onStandStepChanged <*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
54629b53,REPORT : 7007 5002 150089 240
73d3f2a3,<*> <*> <*> <*>
4dba672c,onStandStepChanged <*>
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
2b398141, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
49c0d19e,REPORT : 7008 5003 150111 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
4826bad4,REPORT : 7009 5004 150132 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
2d3664d2,REPORT : 7011 5005 150175 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
adaf9b72,REPORT : 7012 5006 150197 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
e842e0c8,REPORT : 7013 5007 150218 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
e04e83e7,calculateAltitudeWithCache <*>
96f3994b,REPORT : 7014 5007 150239 240
4dba672c,onStandStepChanged <*>
73d3f2a3,<*> <*> <*> <*>
1753ecfa,getTodayTotalDetailSteps = <*>
2528f150,<*>
ac2d7346,calculateCaloriesWithCache <*>
