Log Template,Number of Occurrences
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*>,60
check pass; user unknown,117
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> user=root,68
session opened for user cyrus by (uid=0),43
session closed for user cyrus,43
ALERT exited abnormally with [1],43
session opened for user news by (uid=0),43
session closed for user news,43
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,10
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,5
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 <*> 2005,8
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*> <*>,304
session opened for user test by (uid=509),36
session closed for user test,36
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at <*> Jun <*> <*> 2005,22
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,10
User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,1
cupsd shutdown succeeded,6
cupsd startup succeeded,6
restart.,7
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,12
Received SNMP packet(s) from 67.170.148.126,1
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,10
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,10
connection from 210.245.165.136 () at <*> <*> <*> <*> 2005,32
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= <*>,2
connection from 218.69.108.57 () at Fri Jun 24 <*> 2005,13
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,10
connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,18
connection from <*> () at <*> <*> <*> <*> 2005,271
connection from 61.74.96.178 () at Wed Jun 29 <*> 2005,23
connection from 208.62.55.75 () at Wed Jun 29 <*> 2005,23
connection from 210.223.97.117 () at Wed Jun 29 14:44:35 2005,7
Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code,8
Kerberos authentication failed,23
Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort,15
connection from 202.82.200.188 () at Fri Jul 1 07:57:30 2005,23
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul <*> <*> 2005,46
connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul 3 23:16:09 2005,23
connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul 4 12:52:44 2005,23
connection from 211.72.2.106 () at Tue Jul 5 <*> 2005,23
connection from <*> () at <*> Jul <*> <*> 2005,25
*** info [mice.c(1766)]:,1
imps2: Auto-detected intellimouse PS/2,1
session opened for user root by LOGIN(uid=0),1
ROOT LOGIN ON tty2,1
session closed for user root,1
removing device node <*>,4
creating device node <*>,4
connection from 202.82.200.188 () at Thu Jul 7 16:33:52 2005,12
connection from 221.4.102.93 () at Thu Jul 7 <*> 2005,19
connection from 211.57.88.250 () at Sat Jul 9 11:35:59 2005,23
connection from 81.171.220.226 () at Sat Jul 9 <*> 2005,23
connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul 9 <*> 2005,23
connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,23
connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 <*> 2005,23
connection from 220.94.205.45 () at Sun Jul 10 13:17:22 2005,23
authentication failure; logname= uid=0 euid=0 tty=:0 ruser= rhost=,1
Couldn't authenticate user,1
connection from 211.107.232.1 () at <*> Jul <*> <*> 2005,23
connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 <*> 2005,32
connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 <*> 2005,46
connection from <*> <*> at <*> Jul <*> <*> 2005,47
"ANONYMOUS FTP LOGIN FROM 84.102.20.2, (anonymous)",2
notify question section contains no SOA,16
getpeername (ftpd): Transport endpoint is not connected,4
warning: can't get client address: Connection reset by peer,2
syslogd startup succeeded,1
"klogd 1.4.1, log source = /proc/kmsg started.",1
Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,1
BIOS-provided physical RAM map:,1
BIOS-e820: <*> - <*> (usable),2
BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),1
BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),1
BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),1
0MB HIGHMEM available.,1
126MB LOWMEM available.,1
zapping low mappings.,1
klogd startup succeeded,1
On node 0 totalpages: 32430,1
"DMA zone: 4096 pages, LIFO batch:1",1
"Normal zone: 28334 pages, LIFO batch:6",1
irqbalance startup succeeded,1
"HighMem zone: 0 pages, LIFO batch:1",1
DMI 2.3 present.,1
ACPI disabled because your bios is from 2000 and too old,1
You can enable it with acpi=force,1
Built 1 zonelists,1
Kernel command line: ro root=LABEL=/ rhgb quiet,1
mapped 4G/4G trampoline to ffff3000.,1
Initializing CPU#0,1
"CPU 0 irqstacks, hard=02345000 soft=02344000",1
portmap startup succeeded,1
PID hash table entries: 512 (order 9: 4096 bytes),1
Detected 731.219 MHz processor.,1
Version 1.0.6 Starting,1
Using tsc for high-res timesource,1
rpc.statd startup succeeded,1
Console: colour VGA+ 80x25,1
"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",1
Calibrating delay loop... 1445.88 BogoMIPS,1
Security Scaffold v1.0.0 initialized,1
SELinux:  Initializing.,1
SELinux:  Starting in permissive mode,1
"There is already a security framework initialized, register_security failed.",1
Failure registering capabilities with the kernel,1
selinux_register_security:  Registering secondary module capability,1
Capability LSM initialized,1
rpc.idmapd startup succeeded,1
"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",1
"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",1
"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",1
"CPU: L1 I cache: 16K, L1 D cache: 16K",1
CPU: L2 cache: 256K,1
Intel machine check architecture supported.,1
Intel machine check reporting enabled on CPU#0.,1
CPU: Intel Pentium III (Coppermine) stepping 06,1
Enabling fast FPU save and restore... done.,1
Enabling unmasked SIMD FPU exception support... done.,1
Checking 'hlt' instruction... OK.,1
Initializing random number generator:  succeeded,1
POSIX conformance testing by UNIFIX,1
NET: Registered protocol family 16,1
"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",1
PCI: Using configuration type 1,1
mtrr: v2.0 (20020519),1
ACPI: Subsystem revision 20040326,1
ACPI: Interpreter disabled.,1
Linux Plug and Play Support v0.97 (c) Adam Belay,1
Starting pcmcia:  succeeded,1
usbcore: registered new driver usbfs,1
usbcore: registered new driver hub,1
ACPI: ACPI tables contain no PCI IRQ routing entries,1
PCI: Invalid ACPI-PCI IRQ routing table,1
PCI: Probing PCI hardware,1
PCI: Probing PCI hardware (bus 00),1
Transparent bridge - 0000:00:1e.0,1
PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,1
apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),1
audit: initializing netlink socket (disabled),1
kernel.core_uses_pid = 1,1
HCI daemon ver 2.4 started,1
hcid startup succeeded,1
audit(1122475266.4294965305:0): initialized,1
Setting network parameters:  succeeded,1
sdpd startup succeeded,1
sdpd v1.5 started,1
"Total HugeTLB memory allocated, 0",1
Bringing up loopback interface:  succeeded,1
VFS: Disk quotas dquot_6.5.1,1
"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",1
SELinux:  Registering netfilter hooks,1
Initializing Cryptographic API,1
pci_hotplug: PCI Hot Plug PCI Core version: 0.5,1
isapnp: Scanning for PnP cards...,1
isapnp: No Plug & Play device found,1
Real Time Clock Driver v1.12,1
Linux agpgart interface v0.100 (c) Dave Jones,1
