EventId,EventTemplate
18d37603,"Registered signal handlers for [TERM, HUP, INT]"
8aa10cac,"Changing view acls to: yarn,curi"
7455e9ad,"Changing modify acls to: yarn,curi"
97a448ac,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
8aa10cac,"Changing view acls to: yarn,curi"
7455e9ad,"Changing modify acls to: yarn,curi"
97a448ac,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
5d9b5072,Slf4jLogger started
608cc03a,Starting remoting
deb755d9,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]
ed3bef70,Successfully started service 'sparkExecutorActorSystem' on port 55904.
679b3c55,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4
64311330,MemoryStore started with capacity 17.7 GB
9842d41e,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
610be07b,Successfully registered with driver
2d154906,Starting executor ID 5 on host mesos-slave-07
ffdcd496,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.
23e98b39,Server created on 40984
d56d7443,Trying to register BlockManager
d7b4c6cc,Registered BlockManager
9f536426,Got assigned task <*>
9f536426,Got assigned task <*>
9f536426,Got assigned task <*>
9f536426,Got assigned task <*>
12d9627f,Running task <*> in stage <*> (TID <*>
12d9627f,Running task <*> in stage <*> (TID <*>
12d9627f,Running task <*> in stage <*> (TID <*>
12d9627f,Running task <*> in stage <*> (TID <*>
9f536426,Got assigned task <*>
12d9627f,Running task <*> in stage <*> (TID <*>
3a7ce14f,Started reading broadcast variable <*>
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
55bc7801,Reading broadcast variable <*> took <*> ms
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
018720dc,"Partition <*> not found, computing it"
018720dc,"Partition <*> not found, computing it"
018720dc,"Partition <*> not found, computing it"
018720dc,"Partition <*> not found, computing it"
018720dc,"Partition <*> not found, computing it"
a82e4696,Input split: <*>
a82e4696,Input split: <*>
a82e4696,Input split: <*>
a82e4696,Input split: <*>
a82e4696,Input split: <*>
3a7ce14f,Started reading broadcast variable <*>
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
55bc7801,Reading broadcast variable <*> took <*> ms
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
b820efe7,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id"
7d8c2f78,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id"
6dc8d60c,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap"
9ad46c74,"mapred.job.id is deprecated. Instead, use mapreduce.job.id"
69a5d8fc,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
3a7ce14f,Started reading broadcast variable <*>
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
55bc7801,Reading broadcast variable <*> took <*> ms
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
3a7ce14f,Started reading broadcast variable <*>
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
55bc7801,Reading broadcast variable <*> took <*> ms
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
3a7ce14f,Started reading broadcast variable <*>
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
55bc7801,Reading broadcast variable <*> took <*> ms
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
3a7ce14f,Started reading broadcast variable <*>
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
55bc7801,Reading broadcast variable <*> took <*> ms
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
3a7ce14f,Started reading broadcast variable <*>
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
55bc7801,Reading broadcast variable <*> took <*> ms
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
eb36c232,"Times: total = 1114, boot = 885, init = 223, finish = 6"
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
2ad10838,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB)
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
e7dc1836,Times: total = <*> boot = <*> init = <*> finish = <*>
dbfa3b54,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
dbfa3b54,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
dbfa3b54,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
dbfa3b54,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
dbfa3b54,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver
9f536426,Got assigned task <*>
12d9627f,Running task <*> in stage <*> (TID <*>
9f536426,Got assigned task <*>
12d9627f,Running task <*> in stage <*> (TID <*>
