EventId,EventTemplate
894c473b,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll
53a60fe0,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f)
cb813502,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799)
72387416,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f)
b400e97d,Ending TrustedInstaller initialization.
9483b51b,Starting the TrustedInstaller main loop.
08d4d90f,TrustedInstaller service starts successfully.
7331fc3a,SQM: Initializing online with Windows opt-in: False
7e95e858,SQM: Cleaning up report files older than 10 days.
fca62fb0,SQM: Requesting upload of all unsent reports.
10231209,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]"
b2182385,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL]
2a5b9564,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6"
dcece6e4,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL]
8c2590bf,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
42a29c7f,NonStart: Checking to ensure startup processing was not required.
c3e8ef9f,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = <*>"
ca4df462,"<*> Creating NT transaction (seq <*> objectname [6]""(null)"""
8b579aff,"<*> Created NT transaction (seq <*> result 0x00000000, handle <*>"
b822a6c1,00000007@2016/9/27:20:30:31.462 CSI perf trace:
66551f8d,"NonStart: Success, startup processing not required as expected."
5df2dcf0,Startup processing thread terminated normally
ce014c8e,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized
0f69159d,Session: <*> initialized by client WindowsUpdateAgent.
0f69159d,Session: <*> initialized by client WindowsUpdateAgent.
73e8108a,Warning: Unrecognized packageExtended attribute.
84dceeb7,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
04c62e0c,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
73e8108a,Warning: Unrecognized packageExtended attribute.
84dceeb7,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
04c62e0c,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
73e8108a,Warning: Unrecognized packageExtended attribute.
84dceeb7,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
04c62e0c,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
73e8108a,Warning: Unrecognized packageExtended attribute.
84dceeb7,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
04c62e0c,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
73e8108a,Warning: Unrecognized packageExtended attribute.
73e8108a,Warning: Unrecognized packageExtended attribute.
84dceeb7,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
04c62e0c,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM]
73e8108a,Warning: Unrecognized packageExtended attribute.
