Log Template,Number of Occurrences
Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,2
00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),1
00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),1
00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),1
Ending TrustedInstaller initialization.,2
Starting the TrustedInstaller main loop.,2
TrustedInstaller service starts successfully.,2
SQM: Initializing online with Windows opt-in: False,2
SQM: Cleaning up report files older than 10 days.,2
SQM: Requesting upload of all unsent reports.,2
"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",2
SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],2
"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",2
SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],2
"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
NonStart: Checking to ensure startup processing was not required.,2
"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = <*>",2
"<*> Creating NT transaction (seq <*> objectname [6]""(null)""",3
"<*> Created NT transaction (seq <*> result 0x00000000, handle <*>",3
00000007@2016/9/27:20:30:31.462 CSI perf trace:,1
"NonStart: Success, startup processing not required as expected.",2
Startup processing thread terminated normally,2
00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,1
Session: <*> initialized by client WindowsUpdateAgent.,608
Warning: Unrecognized packageExtended attribute.,280
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],224
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],224
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],18
Read out cached package applicability for package: <*> ApplicableState: <*> <*>,558
Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION],2
Reboot mark refs incremented to: 1,1
Scavenge: Starts,1
"00000009@2016/9/27:20:40:53.744 CSI Transaction @0x47e9e0 initialized for deployment engine {d16d444c-56d8-11d5-882d-0080c847b195} with flags 00000002 and client id [10]""TI6.0_0:0/""",1
Scavenge: Begin CSI Store,1
0000000a Performing 1 operations; 1 are not lock/unlock and follow:,1
"0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7,1
0000000f@2016/9/27:20:40:54.786 CSI perf trace:,1
"Scavenge: Completed, disposition: 0X1",1
00000010@2016/9/27:20:40:54.787 CSI Transaction @0x47e9e0 destroyed,1
Reboot mark refs: 0,1
Idle processing thread terminated normally,1
Ending the TrustedInstaller main loop.,1
Starting TrustedInstaller <*>,2
Ending TrustedInstaller finalization.,1
00000001@2016/9/28:16:00:46.160 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed875eb5d @0x7fee5c39b6d @0x7fee5c0358f @0xffeee97c @0xffeed799 @0xffeedb2f),1
00000002@2016/9/28:16:00:46.200 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed875eb5d @0x7fee5c86ade @0x7fee5c52984 @0x7fee5c03665 @0xffeee97c @0xffeed799),1
00000003@2016/9/28:16:00:46.213 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed875eb5d @0x7fef9d98728 @0x7fef9d98856 @0xffeee474 @0xffeed7de @0xffeedb2f),1
00000007@2016/9/28:16:00:46.260 CSI perf trace:,1
Loading offline registry hive: <*> into registry key <*> from path <*>,8
Offline image is: read-only,1
"Disabling manifest caching, because the image is not writeable.",1
00000008@2016/9/28:16:00:46.635 PopulateComponentFamiliesKey - Begin,1
00000009@2016/9/28:16:01:03.072 PopulateComponentFamiliesKey - End,1
0000000a CSI Store 17159600 (0x000000000105d5b0) initialized,1
Session: 11152_142416105 initialized by client SPP.,1
Unloading offline registry hive: <*>,8
0000000b CSI Store 3065408 (0x00000000002ec640) initialized,1
